Area Name,2018 Flu Pneum Count,2018 Flu Pneum Rate,2018 Flu Pneum MOV,2017 Flu Pneum Count,2017 Flu Pneum Rate,2017 Flu Pneum MOV,2016 Flu Pneum Count,2016 Flu Pneum Rate,2016 Flu Pneum MOV,2015 Flu Pneum Count,2015 Flu Pneum Rate,2015 Flu Pneum MOV,2014 Flu Pneum Count,2014 Flu Pneum Rate,2014 Flu Pneum MOV,2013 Flu Pneum Count,2013 Flu Pneum Rate,2013 Flu Pneum MOV,2012 Flu Pneum Count,2012 Flu Pneum Rate,2012 Flu Pneum MOV,2011 Flu Pneum Count,2011 Flu Pneum Rate,2011 Flu Pneum MOV,2010 Flu Pneum Count,2010 Flu Pneum Rate,2010 Flu Pneum MOV,2009 Flu Pneum Count,2009 Flu Pneum Rate,2009 Flu Pneum MOV,Total Recorded Deaths 2018,Total Recorded Deaths 2017,Total Recorded Deaths 2016,Total Recorded Deaths 2015,Total Recorded Deaths 2014,Total Recorded Deaths 2013,Total Recorded Deaths 2012,Total Recorded Deaths 2011,Total Recorded Deaths 2010,Total Recorded Deaths 2009,"2018 AADR per 100,000","2017 AADR per 100,000","2016 AADR per 100,000","2015 AADR per 100,000","2014 AADR per 100,000","2013 AADR per 100,000","2012 AADR per 100,000","2011 AADR per 100,000","2010 AADR per 100,000","2009 AADR per 100,000",Deaths cardiorespiratory ages 0 to 24 2008-2018,Deaths cardiorespiratory ages 25 to 64 2008-2018,Deaths cardiorespiratory 65plus 2008-2018,Cardiovascular deaths 2018,Cardiovascular deaths 2017,Cardiovascular deaths 2016,Cardiovascular deaths 2015,Cardiovascular deaths 2014,Cardiovascular deaths 2013,Cardiovascular deaths 2012,Cardiovascular deaths 2011,Cardiovascular deaths 2010,Cardiovascular deaths 2009
St. Lucie ,34,11.2,3.8,52,17.3,4.7,40,13.6,4.2,41,14.2,4.3,24,8.5,3.4,29,10.3,3.8,20,7.1,3.1,21,7.5,3.2,36,12.9,4.2,36,13.1,4.3,3099,2965,2878,2783,2762,2648,2581,2554,2532,2519,685,678,698,679,688,665,665,681,683,648,37,1822,10065,1085,993,987,978,978,836,822,775,860,831
Santa Rosa ,41,23.4,7.1,23,13.4,5.5,19,11.3,5.1,27,16.5,6.2,16,10,4.9,22,13.9,5.8,8,5.1,3.6,15,9.7,4.9,24,15.8,6.3,18,12,5.6,1133,1027,934,870,783,847,812,853,788,803,888,823,798,777,761,831,802,870,794,789,22,993,4128,486,408,394,365,371,363,339,341,324,356
Sarasota ,148,35.6,5.7,121,29.7,5.3,89,22.2,4.6,88,22.3,4.7,76,19.6,4.4,80,20.8,4.5,89,23.2,4.8,88,23,4.8,62,16.3,4.1,80,21.2,4.6,5903,5625,5628,5556,5243,5157,4988,4902,4963,4958,587,601,608,611,586,578,583,591,599,577,25,2044,18071,1720,1589,1633,1507,1555,1388,1544,1448,1573,1512
Seminole ,68,14.7,3.5,61,13.4,3.3,41,9.1,2.8,41,9.2,2.8,56,12.8,3.3,49,11.3,3.2,47,11,3.1,53,12.5,3.4,46,10.9,3.1,41,9.7,3,3715,3673,3628,3497,3261,2993,3032,2948,3015,2920,666,671,658,663,658,638,661,656,658,713,52,2004,10305,1149,1119,1121,1045,952,841,858,792,821,864
Sumter ,21,16.7,7.1,27,21.8,8.2,19,15.9,7.2,19,16.3,7.3,17,15.1,7.2,23,21.6,8.8,10,9.9,6.1,16,16.4,8,18,19.1,8.8,19,20.9,9.4,2094,2107,2090,2009,1800,1683,1555,1407,1365,1220,636,621,638,623,601,579,566,645,603,587,4,591,5246,629,608,578,517,466,399,391,378,367,318
Suwannee ,13,28.8,15.7,8,18,12.4,7,15.8,11.7,11,24.8,14.6,12,27.1,15.3,9,20.5,13.4,8,18.3,12.7,12,27.6,15.6,7,16.7,12.4,5,12.2,10.7,336,343,320,322,338,304,323,312,267,270,851,947,884,925,953,855,899,896,818,836,6,387,1901,163,198,166,178,188,154,168,171,140,149
Taylor ,8,35.9,24.9,3,13.5,,2,8.9,,5,22,19.3,0,0,,6,26.1,20.9,1,4.4,,2,8.9,,2,8.9,,2,8.9,,188,166,201,195,174,153,181,149,165,175,947,816,984,864,854,834,915,854,829,829,3,228,724,88,59,64,79,65,71,92,67,54,65
Union ,3,18.8,,5,31.5,27.6,4,25.2,,0,0,,3,19.1,,2,12.9,,0,0,,2,12.9,,3,19.3,,3,19.5,,111,117,146,142,154,143,149,123,124,99,1375,1410,1498,1568,1467,1494,1148,1252,1374,1351,1,245,449,67,57,58,51,51,47,46,43,53,48
Volusia ,110,20.6,3.9,132,25.1,4.3,112,21.6,4,102,19.9,3.9,113,22.4,4.1,85,17,3.6,84,16.9,3.6,93,18.8,3.8,89,18,3.7,111,22.4,4.2,7250,7514,7126,6929,6764,6410,6370,6064,6124,5905,842,859,816,814,795,785,787,775,795,739,60,4353,22744,2341,2396,2282,2207,2112,1935,1878,1797,1787,1718
Wakulla ,3,9.3,,3,9.3,,0,0,,3,9.6,,4,12.8,,1,3.2,,0,0,,2,6.5,,0,0,,4,13.2,,158,131,175,125,142,138,120,132,134,121,870,868,959,829,892,908,859,958,802,710,4,219,707,82,75,88,71,87,60,56,68,47,65
Walton ,15,22.1,11.2,10,15.2,9.4,9,14.2,9.3,11,18,10.6,5,8.3,7.3,6,10.3,8.2,8,14,9.7,4,7.2,,6,10.9,8.7,8,14.6,10.1,692,630,567,529,498,491,460,477,480,446,833,773,785,731,774,787,761,788,799,672,8,457,1794,187,196,193,191,160,173,148,151,151,142
Washington ,7,27.7,20.5,7,28.1,20.8,4,16.1,,7,28.1,20.8,3,12,,9,36.3,23.7,2,8,,9,36.5,23.8,6,24.1,19.3,5,20.2,17.7,264,241,226,182,209,208,200,219,214,194,1154,1065,1080,953,935,897,857,957,1071,892,1,288,956,106,106,101,101,80,82,75,81,102,94
